symbol,effective_date,split_ratio,current_float_m,status
XWEL,2023-09-28,20,5.22,Complete
SYBX,2023-09-28,15,5.15,Complete
RBT,2023-09-27,8,33.51,Complete
VCNX,2023-09-26,15,1.63,Complete
FTK,2023-09-26,6,12.53,Complete
NGNE,2023-09-25,5,19.26,Complete
FAMI,2023-09-25,8,1.30,Complete
YYAI,2023-09-25,40,18.74,Complete
VINO,2023-09-25,10,0.57,Complete
EJH,2023-09-25,10,19.70,Complete
XTKG,2023-09-22,8,97.26,Complete
PRPO,2023-09-22,20,1.64,Complete
CPTN,2023-09-22,10,2.78,Complete
NTRP,2023-09-22,20,7.45,Complete
SOND,2023-09-21,20,11.26,Complete
PYPD,2023-09-21,30,12.00,Complete
SOGP,2023-09-20,10,3.66,Complete
MYSE,2023-09-20,10,3.99,Complete
AXLA,2023-09-19,25,2.41,Complete
PHXM,2023-09-18,10,3.10,Complete
AEHL,2023-09-18,10,2.58,Complete
SBLX,2023-09-18,8,1.41,Complete
KXIN,2023-09-14,15,28.35,Complete
ASTR,2023-09-14,15,15.17,Complete
AVGR,2023-09-13,15,3.13,Complete
DNTH,2023-09-12,16,41.16,Complete
AMPE,2023-09-12,20,1.12,Complete
LFLY,2023-09-12,20,2.92,Complete
ASTI,2023-09-12,200,3.48,Complete
EFSH,2023-09-11,25,6.35,Complete
SLE,2023-09-11,20,6.06,Complete
NEPT,2023-09-08,40,4.52,Complete
SYRE,2023-09-08,25,70.29,Complete
BACK,2023-09-08,30,3.68,Complete
RVYL,2023-09-07,10,31.82,Complete
GROM,2023-09-07,20,9.02,Complete
WE,2023-09-05,40,12.63,Complete
HARP,2023-09-05,10,16.59,Complete
HLGN,2023-09-01,35,4.27,Complete
SONN,2023-09-01,22,6.74,Complete
SPIR,2023-08-31,8,20.49,Complete
ATLN,2023-08-31,40,28.49,Complete
EXPR,2023-08-30,20,3.62,Complete
DMS,2023-08-29,15,2.76,Complete
FFAI,2023-08-28,80,167.57,Complete
IDEX,2023-08-25,125,20.01,Complete
CLVR,2023-08-25,30,1.64,Complete
NIXX,2023-08-25,15,24.74,Complete
AMC,2023-08-24,10,510.95,Complete
BTCT,2023-08-24,20,9.50,Complete
SUNL,2023-08-23,20,2.57,Complete
MNTS,2023-08-23,50,24.04,Complete
TIVC,2023-08-23,100,1.74,Complete
DBGI,2023-08-22,25,6.33,Complete
SMX,2023-08-21,22,1.05,Complete
BQ,2023-08-21,3.33,3.41,Complete
VAPO,2023-08-18,8,5.74,Complete
WHLR,2023-08-18,10,0.69,Complete
ADTX,2023-08-18,40,0.56,Complete
AKTX,2023-08-17,20,21.15,Complete
HSDT,2023-08-17,50,73.74,Complete
WATT,2023-08-16,20,2.17,Complete
CRKN,2023-08-15,60,1.74,Complete
MTEM,2023-08-14,15,5.90,Complete
BINI,2023-08-11,9,12.48,Complete
SEGG,2023-08-10,20,4.82,Complete
CHAI,2023-08-09,100,3.10,Complete
YVR,2023-08-07,4,3.56,Complete
ADIL,2023-08-07,25,23.85,Complete
MOBQ,2023-08-07,15,8.92,Complete
BNGO,2023-08-07,10,10.17,Complete
DUO,2023-08-04,15,3.90,Complete
NCMI,2023-08-04,10,74.92,Complete
ULY,2023-08-04,15,2.12,Complete
SMFL,2023-08-02,3,7.09,Complete
BRSH,2023-08-01,25,100.96,Complete
MDVL,2023-08-01,50,0.50,Complete
TAOP,2023-08-01,10,0.98,Complete
THTX,2023-07-31,4,45.89,Complete
UPC,2023-07-28,6,0.56,Complete
OTRK,2023-07-28,6,8.95,Complete
KPLT,2023-07-28,25,2.91,Complete
IVF,2023-07-28,20,1.89,Complete
BIOL,2023-07-28,100,36.60,Complete
VIEW,2023-07-27,60,1.64,Complete
BNTC,2023-07-26,17,23.85,Complete
IMDX,2023-07-25,25,22.15,Complete
ABVC,2023-07-25,10,21.54,Complete
DXF,2023-07-25,10,1.36,Complete
BJDX,2023-07-24,20,4.06,Complete
QNRX,2023-07-18,12,0.59,Complete
SNMP,2023-07-18,30,2.06,Complete
SNAX,2023-07-15,15,5.82,Complete
LGHL,2023-07-13,50,0.50,Complete
DRUG,2023-07-13,5,4.41,Complete
AXDX,2023-07-12,10,15.32,Complete
OWLT,2023-07-10,14,20.63,Complete
JZXN,2023-07-10,18,20.18,Complete
GRCE,2023-07-10,6,9.09,Complete
AUID,2023-07-10,8,15.86,Complete
PDYN,2023-07-06,6,31.51,Complete
TLIS,2023-07-06,15,1.01,Complete
BFRI,2023-07-05,20,11.23,Complete
RYM,2023-07-05,20,1.30,Complete
XXII,2023-07-05,15,6.99,Complete
OGI,2023-07-05,4,101.44,Complete
BDRX,2023-07-05,80,0.62,Complete
WKEY,2023-07-05,2.5,5.02,Complete
PRFX,2023-07-03,10,3.90,Complete
BTCY,2023-07-03,6,26.10,Complete
AHI,2023-06-30,4,5.88,Complete
ATXG,2023-06-30,10,11.51,Complete
IKT,2023-06-30,6,160.94,Complete
DOMA,2023-06-30,25,6.70,Complete
EVLO,2023-06-30,20,10.93,Complete
ANY,2023-06-29,7,32.79,Complete
MRAI,2023-06-29,4,13.23,Complete
ALLR,2023-06-29,40,15.81,Complete
AREB,2023-06-27,25,6.12,Complete
SKLZ,2023-06-26,20,10.34,Complete
SHPW,2023-06-23,8,5.59,Complete
SCNX,2023-06-22,15,33.79,Complete
STCN,2023-06-22,9.33,2.14,Complete
CYPH,2023-06-21,10,34.60,Complete
BSFC,2023-06-21,20,7.89,Complete
EFOI,2023-06-20,7,3.62,Complete
YJ,2023-06-20,10,1.06,Complete
IZEA,2023-06-16,4,13.08,Complete
LOCL,2023-06-15,13,2.69,Complete
BOXL,2023-06-15,8,5.54,Complete
ATIP,2023-06-15,50,1.50,Complete
NBSE,2023-06-15,20,3.57,Complete
CELZ,2023-06-12,10,3.66,Complete
OPAD,2023-06-12,15,26.59,Complete
FNCH,2023-06-12,30,0.91,Complete
XTKG,2023-06-09,30,97.26,Complete
NXTT,2023-06-09,185,4.08,Complete
FLGC,2023-06-09,20,0.61,Complete
AUMN,2023-06-09,25,14.55,Complete
CNVS,2023-06-09,20,15.78,Complete
APRN,2023-06-08,12,5.41,Complete
UP,2023-06-08,10,108.15,Complete
SVRN,2023-06-08,20,10.13,Complete
BBLG,2023-06-07,30,1.79,Complete
GNLN,2023-06-07,10,1.39,Complete
VTGN,2023-06-07,30,39.43,Complete
APTO,2023-06-06,15,2.07,Complete
WPRT,2023-06-06,10,15.33,Complete
ACOR,2023-06-05,20,1.24,Complete
GROV,2023-06-05,5,15.76,Complete
LIXT,2023-06-05,10,5.69,Complete
ELTX,2023-06-02,10,15.08,Complete
VSTM,2023-06-01,12,75.29,Complete
CBUS,2023-06-01,5,45.39,Complete
PBLA,2023-06-01,30,4.85,Complete
TRKA,2023-06-01,25,15.77,Complete
AUVI,2023-05-31,5,4.75,Complete
BTOG,2023-05-30,30,88.61,Complete
ITRG,2023-05-26,2.5,167.90,Complete
HCTI,2023-05-26,10,7.25,Complete
LIQT,2023-05-26,8,4.36,Complete
LABP,2023-05-26,10,2.35,Complete
XWIN,2023-05-24,5,40.87,Complete
RIDE,2023-05-24,15,13.37,Complete
SEAC,2023-05-23,20,1.66,Complete
SGTX,2023-05-23,13,1.71,Complete
RNAZ,2023-05-23,20,0.92,Complete
NEUE,2023-05-22,80,5.03,Complete
DMK,2023-05-22,70,10.09,Complete
BRDS,2023-05-19,25,10.48,Complete
NISN,2023-05-18,10,3.46,Complete
GPUS,2023-05-18,300,342.48,Complete
BIOC,2023-05-17,30,2.62,Complete
SDIG,2023-05-16,10,16.37,Complete
GREE,2023-05-16,10,12.37,Complete
CYCN,2023-05-16,20,3.34,Complete
GLMD,2023-05-15,15,6.46,Complete
IFBD,2023-05-15,5,1.95,Complete
BLNE,2023-05-15,20,25.70,Complete
ROI,2023-05-15,30,32.55,Complete
RETO,2023-05-15,10,1.24,Complete
XBIO,2023-05-15,10,2.06,Complete
ALPP,2023-05-15,8,23.49,Complete
XELA,2023-05-15,200,27.74,Complete
AWH,2023-05-12,15,41.85,Complete
FRLN,2023-05-12,15,1.92,Complete
VERO,2023-05-12,15,1.74,Complete
LPCN,2023-05-12,17,5.25,Complete
BBIG,2023-05-11,20,12.45,Complete
HEPA,2023-05-11,20,11.62,Complete
TNXP,2023-05-10,6.25,11.78,Complete
GTE,2023-05-05,10,34.30,Complete
BINI,2023-05-04,25,12.48,Complete
MDRR,2023-05-04,8,0.43,Complete
WGS,2023-05-04,33,14.37,Complete
VISL,2023-05-01,20,2.11,Complete
PSTV,2023-05-01,15,134.10,Complete
ZEV,2023-04-28,20,4.60,Complete
IMPP,2023-04-28,15,23.06,Complete
NXXT,2023-04-27,8,29.32,Complete
SBET,2023-04-26,10,196.66,Complete
JXG,2023-04-26,10,1.01,Complete
CBUS,2023-04-25,10,45.39,Complete
ML,2023-04-25,30,5.67,Complete
YCBD,2023-04-25,45,8.90,Complete
BKTI,2023-04-24,5,3.11,Complete
POAI,2023-04-24,20,20.12,Complete
LGMK,2023-04-24,20,0.91,Complete
SMFL,2023-04-24,50,7.09,Complete
GRI,2023-04-24,30,3.27,Complete
FRSX,2023-04-21,6,3.51,Complete
OUST,2023-04-21,10,54.27,Complete
ASNS,2023-04-18,10,1.73,Complete
TONX,2023-04-18,40,57.31,Complete
FIEE,2023-04-17,25,1.17,Complete
LITS,2023-04-17,20,36.69,Complete
EJH,2023-04-14,10,19.70,Complete
ARVL,2023-04-14,50,7.00,Complete
LOGC,2023-04-12,30,25.06,Complete
VBIV,2023-04-12,30,27.58,Complete
GAME,2023-04-11,4,88.49,Complete
AGRX,2023-04-11,50,6.86,Complete
BLBX,2023-04-11,4,3.20,Complete
WTER,2023-04-05,15,10.52,Complete
ORBS,2023-04-04,50,26.55,Complete
MBIO,2023-04-04,15,7.23,Complete
BEST,2023-04-04,4,4.04,Complete
CHNR,2023-04-03,5,0.53,Complete
ENSC,2023-03-31,12,3.54,Complete
MCOM,2023-03-31,50,92.21,Complete
BPTS,2023-03-30,10,33.84,Complete
NOGN,2023-03-29,20,8.78,Complete
ALLR,2023-03-27,35,15.81,Complete
CREX,2023-03-27,3,6.79,Complete
BDRX,2023-03-27,5,0.62,Complete
FRGT,2023-03-24,10,5.90,Complete
CUEN,2023-03-24,13,2.33,Complete
RDHL,2023-03-23,40,4.48,Complete
PTIX,2023-03-23,4,1.86,Complete
IDAI,2023-03-23,5,4.77,Complete
VIA,2023-03-22,5,,Complete
BAOS,2023-03-22,6,0.90,Complete
LKCO,2023-03-22,30,6.71,Complete
CALC,2023-03-20,14,9.51,Complete
RAAS,2023-03-15,3,29.37,Complete
DRMA,2023-03-14,16,0.91,Complete
KRBP,2023-03-13,30,1.13,Complete
ASLN,2023-03-13,5,3.00,Complete
ORTX,2023-03-10,10,22.76,Complete
KLR,2023-03-09,3.5,8.53,Complete
AKAN,2023-03-09,10,0.73,Complete
CARM,2023-03-08,20,22.96,Complete
SFT,2023-03-08,10,16.31,Complete
CPHI,2023-03-06,10,4.70,Complete
HCDI,2023-03-06,20,2.21,Complete
IONM,2023-03-04,20,3.12,Complete
RKDA,2023-03-01,40,1.36,Complete
WINT,2023-02-24,50,33.71,Complete
RELI,2023-02-23,15,9.78,Complete
AMST,2023-02-22,12,3.32,Complete
GMBL,2023-02-22,100,1.15,Complete
SHIP,2023-02-16,10,16.37,Complete
CFRX,2023-02-15,80,3.63,Complete
ECOR,2023-02-15,15,6.48,Complete
ATNX,2023-02-15,20,8.27,Complete
CRBP,2023-02-14,30,18.44,Complete
APRE,2023-02-13,20,5.89,Complete
TOON,2023-02-13,10,58.20,Complete
VYNE,2023-02-13,18,32.72,Complete
COMS,2023-02-10,100,2.44,Complete
INBS,2023-02-10,20,9.43,Complete
GFAI,2023-02-10,40,19.95,Complete
SNGX,2023-02-10,15,10.54,Complete
MIGI,2023-02-09,6,0.97,Complete
CZOO,2023-02-09,20,2.53,Complete
NAOV,2023-02-09,20,1.09,Complete
DGLY,2023-02-08,20,1.90,Complete
LCI,2023-02-07,4,9.20,Complete
DYNT,2023-02-02,5,7.48,Complete
FTFT,2023-02-01,5,4.72,Complete
LMNL,2023-02-01,10,1.12,Complete
REVB,2023-02-01,35,5.92,Complete
REED,2023-01-27,50,4.23,Complete
DVLT,2023-01-27,100,241.66,Complete
MRKR,2023-01-27,10,13.86,Complete
EDBL,2023-01-26,30,5.13,Complete
SWVL,2023-01-26,25,5.56,Complete
PHIO,2023-01-26,12,11.34,Complete
CETX,2023-01-25,35,0.74,Complete
JAGX,2023-01-23,75,3.73,Complete
SIEN,2023-01-23,10,11.85,Complete
APM,2023-01-23,10,5.53,Complete
OGEN,2023-01-23,60,4.09,Complete
CNET,2023-01-20,5,2.57,Complete
ACGN,2023-01-18,17,3.59,Complete
JFU,2023-01-18,20,4.56,Complete
EAR,2023-01-18,20,4.70,Complete
ENTO,2023-01-18,7,3.30,Complete
PBLA,2023-01-13,40,4.85,Complete
GHSI,2023-01-09,50,1.27,Complete
ATHE,2023-01-09,10,17.77,Complete
CANF,2023-01-09,10,21.55,Complete
DAVE,2023-01-06,32,10.04,Complete
AYTU,2023-01-06,20,9.38,Complete
NXTP,2023-01-06,20,3.39,Complete
ALBT,2023-01-05,10,3.87,Complete
IPDN,2023-01-05,2,3.10,Complete
TENX,2023-01-05,20,5.73,Complete
OPGN,2023-01-05,20,2.23,Complete
OBLG,2023-01-04,15,3.18,Complete
BIOR,2023-01-03,25,2.96,Complete
HALL,2023-01-03,10,1.31,Complete
IRON,2022-12-30,10,32.47,Complete
CHRA,2022-12-30,10,2.00,Complete
IMG,2022-12-29,35,48.41,Complete
AEI,2022-12-28,20,3.71,Complete
HOFV,2022-12-27,22,4.42,Complete
SLAI,2022-12-23,10,17.82,Complete
KAL,2022-12-23,100,0.90,Complete
HIND,2022-12-23,50,4.60,Complete
MARK,2022-12-22,10,45.56,Complete
THMO,2022-12-22,45,3.51,Complete
TISI,2022-12-22,10,2.29,Complete
SVRN,2022-12-22,10,10.13,Complete
HTGM,2022-12-21,12,2.21,Complete
CEI,2022-12-21,50,226.48,Complete
SINT,2022-12-20,100,3.85,Complete
MDWD,2022-12-20,7,9.02,Complete
KA,2022-12-19,7,8.06,Complete
HEXO,2022-12-19,14,41.84,Complete
ETHZ,2022-12-19,20,19.23,Complete
BBLN,2022-12-16,25,22.41,Complete
NH,2022-12-16,15,2.12,Complete
COSM,2022-12-16,25,28.47,Complete
COE,2022-12-15,4,2.31,Complete
BETS,2022-12-15,15,4.29,Complete
PHCF,2022-12-13,6,1.36,Complete
YDKG,2022-12-12,4,1.77,Complete
NUWE,2022-12-12,100,1.66,Complete
OCFT,2022-12-12,10,4.75,Complete
NDRA,2022-12-09,20,0.68,Complete
GROM,2022-12-09,30,9.02,Complete
UPH,2022-12-09,10,11.72,Complete
MYSZ,2022-12-09,25,3.67,Complete
BIMI,2022-12-09,10,3.35,Complete
LCFY,2022-12-08,20,1.43,Complete
IMV,2022-12-08,10,11.68,Complete
CKPT,2022-12-06,10,82.24,Complete
ASTC,2022-12-05,30,1.62,Complete
DRRX,2022-12-05,10,28.83,Complete
ELOX,2022-12-02,40,2.76,Complete
PTPI,2022-12-01,10,42.32,Complete
BXRX,2022-12-01,40,10.68,Complete
TUEM,2022-12-01,30,3.99,Complete
FUV,2022-11-30,20,11.99,Complete
CNSP,2022-11-29,10,0.62,Complete
SECO,2022-11-28,10,5.07,Complete
XIN,2022-11-28,10,4.31,Complete
SCNI,2022-11-25,10,3.47,Complete
CHEK,2022-11-25,20,4.38,Complete
SPCB,2022-11-23,10,4.64,Complete
AIXC,2022-11-23,10,5.16,Complete
EBON,2022-11-22,30,4.72,Complete
AMTD,2022-11-22,2,33.21,Complete
ASAP,2022-11-21,20,13.13,Complete
GMVD,2022-11-21,35,7.41,Complete
TCBP,2022-11-21,50,0.51,Complete
GOCO,2022-11-18,15,14.16,Complete
IMCC,2022-11-17,10,5.39,Complete
PALI,2022-11-16,50,180.54,Complete
SNES,2022-11-16,20,5.22,Complete
TIRX,2022-11-16,5,5.60,Complete
NBY,2022-11-15,35,6.01,Complete
PSHG,2022-11-15,15,12.43,Complete
AMBR,2022-11-14,10,15.12,Complete
XYLO,2022-11-14,15,0.81,Complete
HURA,2022-11-14,50,30.02,Complete
RNTX,2022-11-11,20,24.13,Complete
TRVN,2022-11-10,25,0.86,Complete
CFMS,2022-11-10,25,7.82,Complete
MSGM,2022-11-10,10,2.40,Complete
VS,2022-11-09,15,1.74,Complete
ONCS,2022-11-09,22,5.50,Complete
TMBR,2022-11-09,50,3.07,Complete
GDC,2022-11-09,30,17.01,Complete
ABTC,2022-11-08,20,192.17,Complete
ALAR,2022-11-08,10,6.92,Complete
AMPE,2022-11-08,15,1.12,Complete
FRES,2022-11-04,20,3.48,Complete
TANH,2022-11-04,24,1.80,Complete
VINO,2022-11-04,12,0.57,Complete
DBGI,2022-11-04,100,6.33,Complete
QTNT,2022-11-03,40,3.31,Complete
VYNT,2022-11-02,5,5.80,Complete
SLDB,2022-10-28,15,84.94,Complete
ENSC,2022-10-28,20,3.54,Complete
UXIN,2022-10-28,10,3.76,Complete
HOTH,2022-10-26,25,15.45,Complete
CYTO,2022-10-25,20,8.77,Complete
TLPH,2022-10-25,20,37.89,Complete
KALA,2022-10-20,50,7.65,Complete
UBX,2022-10-19,10,16.92,Complete
RYM,2022-10-18,10,1.30,Complete
AIRI,2022-10-18,10,3.45,Complete
SLRX,2022-10-17,25,5.42,Complete
ERNA,2022-10-17,20,6.59,Complete
NMTR,2022-10-17,20,12.72,Complete
MF,2022-10-17,30,5.67,Complete
MYND,2022-10-14,20,8.00,Complete
TTOO,2022-10-13,50,15.34,Complete
PAVS,2022-10-11,20,66.72,Complete
COCP,2022-10-11,12,9.02,Complete
IBIO,2022-10-10,25,22.23,Complete
XTIA,2022-10-07,75,32.77,Complete
QNGY,2022-10-06,25,13.23,Complete
EJH,2022-10-04,20,19.70,Complete
VTAK,2022-10-03,50,1.65,Complete
AVCT,2022-09-30,15,29.54,Complete
KPRX,2022-09-27,40,3.60,Complete
BDRX,2022-09-26,5,0.62,Complete
ZNB,2022-09-26,40,10.36,Complete
CWBR,2022-09-23,30,2.83,Complete
ATXI,2022-09-23,15,2.90,Complete
TOPS,2022-09-23,20,1.51,Complete
SONN,2022-09-19,14,6.74,Complete
SYRS,2022-09-16,10,24.15,Complete
LSTA,2022-09-15,15,6.93,Complete
NBRV,2022-09-15,25,3.20,Complete
ADTX,2022-09-14,50,0.56,Complete
MTVA,2022-09-13,30,4.66,Complete
IFBD,2022-09-08,5,1.95,Complete
INM,2022-09-07,25,3.16,Complete
CMCM,2022-09-02,5,9.16,Complete
PIXY,2022-09-01,100,0.29,Complete
PTN,2022-08-31,25,3.39,Complete
MNMD,2022-08-29,15,96.83,Complete
ATHX,2022-08-29,25,61.00,Complete
ENTO,2022-08-26,30,3.30,Complete
RIBT,2022-08-26,10,8.82,Complete
SLNO,2022-08-26,15,46.04,Complete
BEDU,2022-08-19,4,6.41,Complete
VANI,2022-08-19,3,26.81,Complete
ITRM,2022-08-18,15,52.38,Complete
BYU,2022-08-17,5,32.14,Complete
ROOT,2022-08-15,18,8.96,Complete
QH,2022-08-12,10,0.99,Complete
SNTG,2022-08-11,5,1.06,Complete
ARTL,2022-08-10,15,1.88,Complete
GNLN,2022-08-10,20,1.39,Complete
USWS,2022-08-04,6,11.11,Complete
QNRX,2022-08-01,13,0.59,Complete
GRNQ,2022-07-28,10,4.95,Complete
MUX,2022-07-28,10,46.11,Complete
XELA,2022-07-26,20,27.74,Complete
MOTS,2022-07-26,20,6.84,Complete
SNDL,2022-07-26,10,257.40,Complete
TOVX,2022-07-25,10,33.73,Complete
GPL,2022-07-25,10,47.14,Complete
CSCI,2022-07-21,25,3.15,Complete
CLRB,2022-07-21,10,4.13,Complete
ENVB,2022-07-15,50,0.59,Complete
MTC,2022-07-13,10,25.11,Complete
ITP,2022-07-08,10,16.42,Complete
AVTX,2022-07-07,12,18.13,Complete
SOS,2022-07-06,50,7.39,Complete
FRTX,2022-07-05,45,4.18,Complete
ABEO,2022-07-05,25,51.97,Complete
XCUR,2022-06-30,30,2.19,Complete
WMC,2022-06-30,10,5.36,Complete
RGLS,2022-06-29,10,68.13,Complete
STAF,2022-06-29,10,1.49,Complete
UTSI,2022-06-29,4,3.10,Complete
BRQS,2022-06-27,16,8.48,Complete
NERV,2022-06-21,8,4.09,Complete
FEDU,2022-06-21,20,0.46,Complete
PEI,2022-06-16,15,5.19,Complete
CALA,2022-06-15,20,4.61,Complete
PETZ,2022-06-14,20,6.38,Complete
NEPT,2022-06-13,35,4.52,Complete
NAAS,2022-06-10,5,0.99,Complete
DOMH,2022-06-07,17,11.28,Complete
DUO,2022-06-07,15,3.90,Complete
ADXS,2022-06-06,80,42.57,Complete
HSTO,2022-06-03,20,4.12,Complete
BQ,2022-06-03,8,3.41,Complete
CASI,2022-06-02,10,16.37,Complete
FAMI,2022-05-31,25,1.30,Complete
BHAT,2022-05-26,10,4.89,Complete
BAOS,2022-05-25,3,0.90,Complete
MKD,2022-05-23,15,8.84,Complete
EVOK,2022-05-23,12,1.54,Complete
FENG,2022-05-23,6,4.78,Complete
LEJU,2022-05-20,10,1.90,Complete
BEST,2022-05-20,5,4.04,Complete
SXTC,2022-05-19,20,114.24,Complete
TNXP,2022-05-17,32,11.78,Complete
PTE,2022-05-17,25,7.18,Complete
SRGA,2022-05-17,30,8.82,Complete
PT,2022-05-16,5,7.14,Complete
RMTI,2022-05-13,11,38.75,Complete
PXS,2022-05-13,4,6.04,Complete
CTK,2022-05-09,13,6.30,Complete
TXMD,2022-05-09,50,8.44,Complete
EVFM,2022-05-06,15,62.05,Complete
BTCT,2022-05-06,30,9.50,Complete
BIOL,2022-04-29,25,36.60,Complete
NVCN,2022-04-29,25,2.74,Complete
AGRX,2022-04-27,40,6.86,Complete
NVIV,2022-04-26,25,3.04,Complete
TBLT,2022-04-25,150,1.32,Complete
UK,2022-04-22,20,2.07,Complete
CRVO,2022-04-18,50,4.88,Complete
ZSAN,2022-04-12,35,4.82,Complete
RDGT,2022-04-07,12,3.60,Complete
AIHS,2022-04-06,10,5.45,Complete
SUNE,2022-03-21,4,3.41,Complete
MOGU,2022-03-18,12,1.90,Complete
AVGR,2022-03-14,20,3.13,Complete
XHG,2022-03-07,5,1.57,Complete
IMNN,2022-03-01,15,3.05,Complete
PULM,2022-03-01,20,3.63,Complete
TANH,2022-02-28,10,1.80,Complete
GECC,2022-02-28,6,9.79,Complete
BXRX,2022-02-16,35,10.68,Complete
FRGT,2022-02-15,2,5.90,Complete
CYRN,2022-02-09,20,6.32,Complete
BIMI,2022-02-03,5,3.35,Complete
WEI,2022-01-25,5,6.80,Complete
CENN,2021-12-22,15,79.18,Complete
BORR,2021-12-14,2,268.42,Complete
QTT,2021-12-10,10,15.95,Complete
IDR,2021-12-06,14,15.34,Complete
YQ,2021-11-17,4,5.91,Complete
LGMK,2021-10-15,10,0.91,Complete
USWS,2021-10-01,4,11.11,Complete
QNRX,2021-09-24,4,0.59,Complete
SONM,2021-09-15,10,0.84,Complete
ENTO,2021-09-13,10,3.30,Complete
JAGX,2021-09-08,3,3.73,Complete
GRCE,2021-08-31,8,9.09,Complete
ZBAI,2021-08-30,5,0.69,Complete
WHWK,2021-08-27,15,34.71,Complete
ATXS,2021-08-20,6,56.82,Complete
SBET,2021-07-27,2,196.66,Complete
INDP,2021-07-26,4,1.11,Complete
MITT,2021-07-23,3,30.67,Complete
AHT,2021-07-16,10,6.30,Complete
STAF,2021-07-01,6,1.49,Complete
TPST,2021-06-28,15,5.61,Complete
MMAT,2021-06-27,2,6.38,Complete
HIND,2021-06-14,3,4.60,Complete
DALN,2021-06-08,4,4.69,Complete
CTRM,2021-05-28,10,9.65,Complete
NOVN,2021-05-25,10,27.90,Complete
TRAW,2021-05-20,15,6.95,Complete
ASRT,2021-05-18,4,93.62,Complete
LMFA,2021-05-06,5,11.29,Complete
PALI,2021-04-28,6,180.54,Complete
NSPR,2021-04-27,15,48.13,Complete
QCLS,2021-04-18,2,4.15,Complete
ERNA,2021-03-25,2,6.59,Complete
CMMB,2021-03-17,16,5.49,Complete
LEE,2021-03-15,10,5.05,Complete
GHSI,2021-03-01,6,1.27,Complete
VIRX,2021-02-24,4,38.68,Complete
SXTC,2021-02-22,4,114.24,Complete
VYNE,2021-02-12,4,32.72,Complete
MBRX,2021-02-01,6,50.81,Complete
NVOS,2021-02-01,10,18.41,Complete
XELA,2021-01-25,3,27.74,Complete
LDWY,2021-01-04,7,0.51,Complete
ACOR,2020-12-31,6,1.24,Complete
HSDT,2020-12-31,35,73.74,Complete
ENVB,2020-12-31,4,0.59,Complete
ZVRA,2020-12-31,16,55.88,Complete
SNDA,2020-12-14,15,5.13,Complete
SCPX,2020-12-10,7,61.12,Complete
EYPT,2020-12-09,10,82.23,Complete
AYTU,2020-12-09,10,9.38,Complete
NBRV,2020-12-03,10,3.20,Complete
BTTC,2020-12-01,30,2.44,Complete
VIVE,2020-12-01,10,10.72,Complete
NCSM,2020-12-01,20,0.83,Complete
LIXT,2020-11-30,6,5.69,Complete
NVNO,2020-11-30,25,20.08,Complete
DLPN,2020-11-25,5,11.84,Complete
HTGM,2020-11-23,15,2.21,Complete
ENSV,2020-11-23,15,46.98,Complete
UAN,2020-11-23,10,,Complete
FSTX,2020-11-20,4,19.55,Complete
XYF,2020-11-19,3,13.05,Complete
BKYI,2020-11-19,8,10.81,Complete
VTAK,2020-11-17,25,1.65,Complete
VRDN,2020-11-13,15,95.41,Complete
JILL,2020-11-10,5,7.13,Complete
COGT,2020-11-09,4,173.78,Complete
FET,2020-11-09,20,10.76,Complete
WYY,2020-11-09,10,8.36,Complete
MDLY,2020-11-02,10,,Complete
PSHG,2020-11-02,10,12.43,Complete
HPR,2020-10-30,50,,Complete
JP,2020-10-30,8,20.20,Complete
FRGT,2020-10-29,5,5.90,Complete
INDP,2020-10-29,20,1.11,Complete
NEGG,2020-10-26,8,0.96,Complete
TC,2020-10-22,4,0.11,Complete
GLBS,2020-10-21,100,15.37,Complete
NUWE,2020-10-19,30,1.66,Complete
AXAS,2020-10-19,20,6.50,Complete
NCTY,2020-10-19,10,8.91,Complete
ELDN,2020-10-06,18,92.33,Complete
KDNY,2020-10-02,5,71.77,Complete
JE,2020-09-29,33,,Complete
MRNS,2020-09-23,4,54.41,Complete
NOG,2020-09-21,10,,Complete
ACET,2020-09-15,7,162.85,Complete
SCON,2020-09-10,10,,Complete
BIOC,2020-09-08,10,2.62,Complete
AEHL,2020-09-03,3,2.58,Complete
VIRX,2020-09-03,10,38.68,Complete
GGE,2020-09-02,2,128.09,Complete
WLL,2020-09-02,75,,Complete
APEX,2020-09-02,10,,Complete
BETS,2020-08-27,10,4.29,Complete
LRFC,2020-08-24,6,,Complete
PPBT,2020-08-21,10,8.75,Complete
VIVS,2020-08-19,20,2.58,Complete
SISI,2020-08-17,9,0.45,Complete
IPI,2020-08-14,10,13.13,Complete
ONIT,2020-08-14,15,7.43,Complete
VJET,2020-08-14,5,8.04,Complete
ATNM,2020-08-11,30,31.01,Complete
TOPS,2020-08-10,25,1.51,Complete
HUSA,2020-08-03,13,6.03,Complete
VISL,2020-08-03,6,2.11,Complete
ACHV,2020-07-31,20,50.20,Complete
TAOP,2020-07-30,6,0.98,Complete
KLXE,2020-07-28,5,15.18,Complete
PFX,2020-07-27,20,1.60,Complete
SQBG,2020-07-27,40,,Complete
SCYX,2020-07-17,10,41.66,Complete
AHT,2020-07-16,10,6.30,Complete
JAKK,2020-07-10,10,10.94,Complete
SGLY,2020-07-07,5,4.29,Complete
SHIP,2020-06-30,16,16.37,Complete
SFUN,2020-06-19,10,,Complete
