symbol,effective_date,split_ratio,current_float_m,status
BDSX,2025-09-15,20,3.78,Complete
CLSD,2025-09-15,15,4.47,Complete
STKH,2025-09-10,8,0.84,Complete
GP,2025-09-08,10,3.01,Complete
GLXG,2025-09-08,10,1.08,Complete
SGBX,2025-09-08,64,5.36,Complete
WAI,2025-09-08,25,2.69,Complete
SDST,2025-09-08,10,6.79,Complete
CNF,2025-09-05,10,4.94,Complete
KITT,2025-09-05,9,11.53,Complete
TIRX,2025-09-05,5,5.60,Complete
ALCE,2025-09-05,200,0.39,Complete
ABTC,2025-09-03,5,192.17,Complete
WLGS,2025-09-02,250,0.65,Complete
NOTE,2025-09-02,12,10.92,Complete
ELAB,2025-09-02,3.5,0.74,Complete
QCLS,2025-09-02,100,4.15,Complete
MSPR,2025-09-02,7,13.47,Complete
LCID,2025-09-02,10,119.00,Complete
EAF,2025-08-29,10,21.15,Complete
SEGG,2025-08-29,10,4.82,Complete
TC,2025-08-29,20,0.11,Complete
DRIO,2025-08-28,20,4.01,Complete
GDHG,2025-08-28,15,2.53,Complete
AKAN,2025-08-26,3.125,0.73,Complete
CMMB,2025-08-26,4,5.49,Complete
USAS,2025-08-26,2.5,271.54,Complete
FRSX,2025-08-25,7,3.51,Complete
GTI,2025-08-25,60,3.18,Complete
SUGP,2025-08-25,10,0.41,Complete
GWAV,2025-08-25,110,0.80,Complete
QH,2025-08-25,90,0.99,Complete
SVRN,2025-08-25,25,10.13,Complete
BCTX,2025-08-25,10,1.87,Complete
OESX,2025-08-22,10,3.12,Complete
ZNB,2025-08-22,25,10.36,Complete
AZTR,2025-08-21,6.66,10.20,Complete
GIBO,2025-08-20,200,2.54,Complete
LNZA,2025-08-19,100,1.19,Complete
CHSN,2025-08-18,80,1.37,Complete
SLRX,2025-08-18,15,5.42,Complete
ENTO,2025-08-18,3,3.30,Complete
VTAK,2025-08-15,19,1.65,Complete
HIND,2025-08-15,4,4.60,Complete
NAOV,2025-08-12,10,1.09,Complete
VERU,2025-08-11,10,21.52,Complete
WATT,2025-08-11,30,2.17,Complete
SISI,2025-08-11,50,0.45,Complete
NCNA,2025-08-11,200,4.16,Complete
PTN,2025-08-11,50,3.39,Complete
HTCO,2025-08-08,25,5.01,Complete
ZBAI,2025-08-08,18,0.69,Complete
DEVS,2025-08-08,10,2.44,Complete
EVTV,2025-08-08,10,4.45,Complete
SMX,2025-08-07,7,1.05,Complete
SEAT,2025-08-06,20,0.75,Complete
CLDI,2025-08-05,12,7.03,Complete
OST,2025-08-05,25,4.96,Complete
ACXP,2025-08-05,20,1.96,Complete
MKZR,2025-08-05,10,1.82,Complete
SPRB,2025-08-05,75,0.53,Complete
NIVF,2025-08-04,5,6.58,Complete
ANGH,2025-08-04,10,2.46,Complete
BINI,2025-08-04,250,12.48,Complete
AQMS,2025-08-04,10,2.95,Complete
FLGC,2025-08-04,39,0.61,Complete
DRMA,2025-08-01,10,0.91,Complete
HCTI,2025-08-01,249,7.25,Complete
PEV,2025-08-01,5,9.26,Complete
BDRX,2025-07-31,10,0.62,Complete
FGI,2025-07-31,5,0.53,Complete
NAAS,2025-07-30,4,0.99,Complete
VSTD,2025-07-30,0.25,11.59,Complete
SLXN,2025-07-29,15,3.09,Complete
AIHS,2025-07-29,10,5.45,Complete
CHPT,2025-07-28,20,22.53,Complete
FOXO,2025-07-28,1.99,526.45,Complete
MRSN,2025-07-28,25,4.21,Complete
AVX,2025-07-28,9,3.61,Complete
IMA,2025-07-28,12,9.94,Complete
IMNN,2025-07-25,15,3.05,Complete
VRCA,2025-07-25,10,5.02,Complete
PC,2025-07-22,9,2.07,Complete
CNSP,2025-07-22,12,0.62,Complete
GBIO,2025-07-22,10,4.60,Complete
GVH,2025-07-21,200,1.47,Complete
TWG,2025-07-21,90,0.52,Complete
IVF,2025-07-21,3,1.89,Complete
MLGO,2025-07-18,30,3.44,Complete
CREG,2025-07-18,10,3.26,Complete
PAPL,2025-07-16,20,1.18,Complete
GORV,2025-07-14,30,0.90,Complete
HTOO,2025-07-14,35,1.88,Complete
PASG,2025-07-14,20,3.04,Complete
NXTC,2025-07-14,12,2.47,Complete
XAIR,2025-07-14,20,7.60,Complete
MFI,2025-07-10,8,0.56,Complete
SBDS,2025-07-09,40,0.75,Complete
BNZI,2025-07-08,10,5.21,Complete
BIVI,2025-07-07,10,7.52,Complete
LVLU,2025-07-07,15,0.44,Complete
REVB,2025-07-07,3,5.92,Complete
FLYE,2025-07-07,5,0.77,Complete
LRHC,2025-07-07,80,1.24,Complete
BGMS,2025-07-07,15,3.79,Complete
NUWE,2025-07-07,42,1.66,Complete
