asof_utc,ticker,borrow_annual,rebate_annual,fee_annual,available
2026-01-05T18:34:17.234223+00:00,BAOS,0.615348,-0.289474,0.325874,70000.0
2026-01-05T18:34:17.234223+00:00,BBGI,2.846256,-1.404928,1.441328,30000.0
2026-01-05T18:34:17.234223+00:00,BBIG,0.39301600000000003,-0.178308,0.214708,350000.0
2026-01-05T18:34:17.234223+00:00,BBLG,0.435072,-0.19933599999999999,0.235736,100000.0
2026-01-05T18:34:17.234223+00:00,BCDA,0.0,0.026920000000000003,0.009479999999999999,400000.0
2026-01-05T18:34:17.234223+00:00,BCLI,0.13791199999999998,-0.050755999999999996,0.087156,300000.0
2026-01-05T18:34:17.234223+00:00,BDRX,7.9804200000000005,-3.97201,4.0084100000000005,75000.0
2026-01-05T18:34:17.234223+00:00,BDSX,0.021764,0.007318,0.029082,100000.0
2026-01-05T18:34:17.234223+00:00,BENF,2.48264,-1.22312,1.25952,10000.0
2026-01-05T18:34:17.234223+00:00,BETR,0.00196,0.01722,0.01918,85000.0
2026-01-05T18:34:17.234223+00:00,BFRI,0.026514,0.004943,0.031457,600000.0
2026-01-05T18:34:17.234223+00:00,BGLC,0.45861399999999997,-0.21110700000000002,0.24750699999999998,15000.0
2026-01-05T18:34:17.234223+00:00,BGM,0.093596,-0.028598,0.064998,10000.0
2026-01-05T18:34:17.234223+00:00,BGMS,1.7232440000000002,-0.843422,0.8798220000000001,55000.0
2026-01-05T18:34:17.234223+00:00,BHAT,0.24825,-0.10592499999999999,0.142325,100000.0
2026-01-05T18:34:17.234223+00:00,BIAF,0.453478,-0.208539,0.244939,150000.0
2026-01-05T18:34:17.234223+00:00,BIMI,0.185566,-0.07458300000000001,0.110983,150000.0
2026-01-05T18:34:17.234223+00:00,BINI,5.25476,-2.6091800000000003,2.64558,550000.0
2026-01-05T18:34:17.234223+00:00,BIRD,0.010329999999999999,0.013035000000000001,0.023365,150000.0
2026-01-05T18:34:17.234223+00:00,BIVI,0.23169800000000002,-0.09764900000000001,0.134049,250000.0
2026-01-05T18:34:17.234223+00:00,BIYA,0.518444,-0.241022,0.277422,20000.0
2026-01-05T18:34:17.234223+00:00,BJDX,3.6811619999999996,-1.822381,1.8587809999999998,150000.0
2026-01-05T18:34:17.234223+00:00,BKKT,0.0,0.020932,0.015467999999999999,350000.0
2026-01-05T18:34:17.234223+00:00,BKSY,0.0,0.025227,0.011172999999999999,100000.0
2026-01-05T18:34:17.234223+00:00,BKTI,0.0,0.02167,0.01473,80000.0
2026-01-05T18:34:17.234223+00:00,BKYI,0.45236,-0.20797999999999997,0.24438,450000.0
